0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
1 0 29.07023221 39.04267915 37.60213689 49.68055204 13.74312765 39.64986874 42.82647092 48.97467355 41.76249531 43.27398975 38.13029875 55.60939727 46.28407529 55.04191248 46.19736578 36.81004512 59.92369185 65.21429633 54.7436288 44.93704731 56.69095916 60.87596069 53.8921175 51.58469079
2 29.07023221 0 47.9786241 47.79256361 60.62835394 35.08488494 53.69165507 53.10439022 59.65119878 52.87915358 61.85434052 54.37608532 68.1344552 57.81214321 66.4688612 63.11196247 53.21232848 73.7212427 78.06928192 67.2404596 61.61351151 72.67757847 74.83320459 67.21588021 64.56082714
3 39.04267915 47.9786241 0 19.64722896 36.69150014 43.28818357 57.9651362 26.86172793 33.73906785 29.36580191 63.63725888 52.02876727 50.59374818 35.72436102 44.07436588 59.41407686 48.21386604 59.90672816 60.74946384 48.61035448 56.80552207 65.90431717 61.26457016 51.44344297 47.57886862
4 37.60213689 47.79256361 19.64722896 0 27.41213083 41.61758445 56.47679597 25.21521404 25.13036569 20.55028073 60.9970697 49.04819449 45.64947446 28.27058248 35.89187663 55.76825803 44.36125271 54.41244586 54.20282544 41.51715265 52.89141612 61.6108232 55.50382817 45.11350836 40.89833784
5 49.68055204 60.62835394 36.69150014 27.41213083 0 53.50743019 68.78221877 40.51381943 37.82121246 23.06832536 72.00033085 60.01464711 56.04416083 35.43741934 39.91679516 65.72730437 54.14645474 62.67894567 60.93953238 46.99437522 62.49929135 70.80639424 62.94143542 51.71913376 46.89235771
6 13.74312765 35.08488494 43.28818357 41.61758445 53.50743019 0 41.82141157 46.53862273 52.76068346 45.4806018 43.2015042 39.22922085 58.53025404 49.75495061 58.61516736 47.49717779 38.23486833 62.43546283 68.1619425 57.86723448 46.46755099 58.39040577 63.38588717 56.67171669 54.51378393
7 39.64986874 53.69165507 57.9651362 56.47679597 68.78221877 41.82141157 0 59.50772509 67.47737598 60.69622275 65.25690299 53.19878028 72.50071987 64.73599942 73.89183777 66.70614519 56.5424371 78.55075981 84.03250154 73.71681524 65.70617004 76.74717705 80.10307837 73.01545413 70.67845407
8 42.82647092 53.10439022 26.86172793 25.21521404 40.51381943 46.53862273 59.50772509 0 35.95727379 32.46469121 65.83291038 52.81152675 47.40969043 36.66715332 46.51601447 61.05954487 49.64073843 60.44611274 61.98689672 50.4802678 58.49938676 67.43683306 62.63767791 53.00607202 49.34130271
9 48.97467355 59.65119878 33.73906785 25.13036569 37.82121246 52.76068346 67.47737598 35.95727379 0 28.87034965 71.4330316 59.08355229 53.53486097 34.06018171 43.44690751 65.54163964 53.96945711 62.76244021 62.07772401 49.57112811 62.53301186 71.00814641 64.06194036 53.45294223 49.18775092
10 41.76249531 52.87915358 29.36580191 20.55028073 23.06832536 45.4806018 60.69622275 32.46469121 28.87034965 0 63.63956366 51.51693633 46.89757863 25.0273227 29.16046882 57.03331469 45.37931115 53.33237817 51.20571654 37.16136811 53.72181485 61.90118778 53.55502315 42.15838316 37.24989016
